city_name,latitude,longitude,distance_to_wuhan(km),wuhan_outflow(Jan1 to Jan24)
Tonghua,41.43,125.56,1600.332,612
Dongguan,23.02,113.45,818.184,10543
Fushun,41.51,123.54,1498.441,892
Xining,36.38,101.48,1354.164,4083
Pingxiang,27.37,113.5,337.721,4375
Dongying,37.27,118.3,858.63,2814
Baicheng,45.38,122.5,1821.758,232
Wuwei,37.56,102.39,1348.433,879
Yinchuan,38.27,106.16,1146.502,3914
Fuxin,42.01,121.39,1448.083,423
Baiyin,36.33,104.12,1145.1,1417
Liaoyang,41.16,123.12,1446.268,736
Beihai,21.28,109.07,1129.956,5601
Jixi,45.17,130.57,2180.867,16
Bayannur,40.75,107.42,1306.711,378
Haidong,36.5,102.12,1309.216,1054
Haikou,20.02,110.2,1215.827,7882
Tongling,30.56,117.48,318.12,5053
Hebi,35.54,114.11,577.129,5943
Zhangjiajie,29.08,110.29,400.4,3736
Zhongshan,22.31,113.22,898.992,3535
Jingdezhen,29.17,117.13,314.398,5929
Shuozhou,39.19,112.26,998.251,1006
Chizhou,30.4,117.29,299.349,5648
Erdos,39.62,109.8,1104.589,803
Heihe,50.14,127.29,2457.847,36
Ya'an,29.59,102.59,1118.17,171
Guyuan,36,106.28,965.754,107
Huangshan,29.43,118.18,399.86,2939
Benxi,41.18,123.46,1465.226,699
Wuzhong,37.59,106.11,1094.777,612
Yangquan,37.51,113.34,799.819,1878
Zhangye,38.56,100.26,1565.475,509
Panjin,41.07,122.03,1385.817,899
Laiwu,36.12,117.4,708.314,811
Yingtan,28.14,117.03,370.625,3485
Lijiang,26.88,100.23,1413.254,393
Xinyu,27.48,114.56,321.378,2819
Zhongwei,37.52,105.18,1149.321,194
Baishan,41.56,126.26,1651.269,263
Zhuhai,22.17,113.34,913.321,8593
Liaoyuan,42.54,125.09,1667.586,219
Yichun-HLJ,47.42,128.56,2262.041,34
Ezhou,30.23,114.52,36.157,1081881
Panzhihua,26.34,101.43,1323.115,599
Hegang,47.2,130.16,2320.805,4
Jiuquan,39.44,98.31,1760.313,111
Fangchenggang,21.37,108.2,1163.01,810
Zhoushan,30.01,122.06,759.194,1094
Danzhou,19.31,109.34,1320.352,810
Shuangyashan,46.38,131.11,2304.579,4
Tongchuan,35.06,109.07,708.286,303
Qitaihe,45.48,130.49,2200.239,8
Xigaze,29.16,88.51,2475.352,8
Shizuishan,39.02,106.22,1206.263,594
Turpan,42.54,89.11,2604.461,108
Sanya,18.14,109.31,1443.818,5032
Hami,42.5,93.28,2295.708,49
Lasa,29.39,91.08,2225.148,1060
Jinchang,38.28,102.1,1414.285,190
Wuhai,39.4,106.48,1225.575,459
Shannan,29.23,91.77,2161.703,123
Karamay,45.36,84.51,3065.806,115
Jiayuguan,39.48,98.14,1775.172,41
Linzhi,29.68,94.37,1905.446,4
Qingdao,36.03,120.18,843.208,16879
